species,temp,injurylevel,recov,metabolites,conc.mean,conc.se,fold_change.mean,fold_change.se,log_foldchange.mean,TRT,group,metabolites_ordered,treatment
MD,20,C,R,Lactic_acid,2.522936447,0.696421739,1,0.27603618,-0.362564102,MDCR,Organic acids,Lactic_acid,C R
MD,20,C,R,Alanine,7.831451811,1.223313257,1,0.156205169,-0.093686594,MDCR,Amino acids,Alanine,C R
MD,20,C,R,Valine,3.448271289,0.234374483,1,0.06796869,-0.016507112,MDCR,Amino acids,Valine,C R
MD,20,C,R,Leucine,1.490976767,0.154489372,1,0.103616217,-0.042627035,MDCR,Amino acids,Leucine,C R
MD,20,C,R,Phosphoric_acid,11.66818845,1.138436881,1,0.097567578,-0.033572168,MDCR,Phosphorylated compounds,Phosphoric_acid,C R
MD,20,C,R,Glycerol,0.710995475,0.072537498,1,0.102022447,-0.038803845,MDCR,Polyols,Glycerol,C R
MD,20,C,R,Isoleucine,2.504904384,0.107127631,1,0.042767154,-0.006524882,MDCR,Amino acids,Isoleucine,C R
MD,20,C,R,Proline,5.387111193,0.377720077,1,0.070115515,-0.017200981,MDCR,Amino acids,Proline,C R
MD,20,C,R,Glycine,1.187033996,0.177275632,1,0.149343349,-0.079951707,MDCR,Amino acids,Glycine,C R
MD,20,C,R,Succinic_acid,0.838455436,0.128377626,1,0.153112044,-0.100389162,MDCR,TCA intermediates,Succinic_acid,C R
MD,20,C,R,Fumaric_acid,0.612888344,0.143191517,1,0.233633937,-0.189153462,MDCR,TCA intermediates,Fumaric_acid,C R
MD,20,C,R,Pipecolic_acid,0.260824641,0.037726902,1,0.144644702,-0.090830203,MDCR,Amino acids,Pipecolic_acid,C R
MD,20,C,R,Serine,1.998938008,0.239917282,1,0.120022372,-0.052878589,MDCR,Amino acids,Serine,C R
MD,20,C,R,Threonine,2.469811976,0.244138861,1,0.098849169,-0.036175192,MDCR,Amino acids,Threonine,C R
MD,20,C,R,Malic_acid,1.631151399,0.170803328,1,0.10471335,-0.036081514,MDCR,TCA intermediates,Malic_acid,C R
MD,20,C,R,Methionine,1.003934807,0.144563305,1,0.143996706,-0.089398592,MDCR,Amino acids,Methionine,C R
MD,20,C,R,Aspartate,0.649840004,0.117435021,1,0.180713745,-0.114566936,MDCR,Amino acids,Aspartate,C R
MD,20,C,R,GABA,1.555704815,0.161576661,1,0.103860745,-0.036888655,MDCR,Amino acids,GABA,C R
MD,20,C,R,Glutamate,6.254567887,0.524603737,1,0.083875297,-0.025999989,MDCR,Amino acids,Glutamate,C R
MD,20,C,R,Phenylalanine,1.807051134,0.084406831,1,0.046709708,-0.008175043,MDCR,Amino acids,Phenylalanine,C R
MD,20,C,R,Asparagine,9.275312985,1.254229773,1,0.135222367,-0.056728411,MDCR,Amino acids,Asparagine,C R
MD,20,C,R,Putrescine,0.940517776,0.110460374,1,0.117446344,-0.053993496,MDCR,Amines,Putrescine,C R
MD,20,C,R,Ornithine,1.057990678,0.129417491,1,0.122323848,-0.062590229,MDCR,Amino acids,Ornithine,C R
MD,20,C,R,Citric_acid,1.37416644,0.080002287,1,0.058218775,-0.013829477,MDCR,TCA intermediates,Citric_acid,C R
MD,20,C,R,Fructose,1.910291129,0.067833785,1,0.035509658,-0.004506497,MDCR,Carbohydrates,Fructose,C R
MD,20,C,R,Glucose,57.15472776,9.339520907,1,0.16340767,-0.122207945,MDCR,Carbohydrates,Glucose,C R
MD,20,C,R,Lysine,7.438402692,0.771307661,1,0.103692646,-0.043035561,MDCR,Amino acids,Lysine,C R
MD,20,C,R,Tyrosine,8.468395724,2.132027086,1,0.251762808,-0.220404746,MDCR,Amino acids,Tyrosine,C R
MD,20,C,R,Mannitol,2.947261319,0.313489058,1,0.106366224,-0.044788024,MDCR,Polyols,Mannitol,C R
MD,20,C,R,Inositol,0.499272143,0.107167583,1,0.214647632,-0.262333313,MDCR,Polyols,Inositol,C R
MD,20,C,R,Sucrose,0.891277952,0.047906638,1,0.053750502,-0.009589697,MDCR,Carbohydrates,Sucrose,C R
MD,20,C,R,Trehalose,21.18795262,2.359838949,1,0.11137645,-0.048234894,MDCR,Carbohydrates,Trehalose,C R
MD,34,01-Feb,D,Lactic_acid,3.337637244,0.531261342,1.322917685,0.210572622,0.266702229,MD1/2D,Organic acids,Lactic_acid,1/2 D
MD,34,01-Feb,D,Alanine,11.14282878,0.923025431,1.422830536,0.117861343,0.475198884,MD1/2D,Amino acids,Alanine,1/2 D
MD,34,01-Feb,D,Valine,2.85534071,0.183441065,0.828049904,0.053197979,-0.292747145,MD1/2D,Amino acids,Valine,1/2 D
MD,34,01-Feb,D,Leucine,1.361267425,0.093833422,0.91300378,0.062934195,-0.154015818,MD1/2D,Amino acids,Leucine,1/2 D
MD,34,01-Feb,D,Phosphoric_acid,11.98512345,1.176706015,1.027162314,0.100847361,-0.017662107,MD1/2D,Phosphorylated compounds,Phosphoric_acid,1/2 D
MD,34,01-Feb,D,Glycerol,0.466226063,0.039199554,0.655737033,0.055133339,-0.643024897,MD1/2D,Polyols,Glycerol,1/2 D
MD,34,01-Feb,D,Isoleucine,1.590794944,0.055281187,0.635072123,0.02206918,-0.661164694,MD1/2D,Amino acids,Isoleucine,1/2 D
MD,34,01-Feb,D,Proline,4.883174356,0.385186195,0.906455089,0.071501438,-0.173384939,MD1/2D,Amino acids,Proline,1/2 D
MD,34,01-Feb,D,Glycine,2.167034267,0.111940021,1.825587367,0.094302288,0.854539366,MD1/2D,Amino acids,Glycine,1/2 D
MD,34,01-Feb,D,Succinic_acid,1.076397123,0.139446721,1.283785729,0.166313813,0.275778277,MD1/2D,TCA intermediates,Succinic_acid,1/2 D
MD,34,01-Feb,D,Fumaric_acid,0.753270423,0.163094899,1.229050005,0.266108665,-0.025015493,MD1/2D,TCA intermediates,Fumaric_acid,1/2 D
MD,34,01-Feb,D,Pipecolic_acid,0.509366235,0.054055196,1.95290688,0.207247274,0.910494974,MD1/2D,Amino acids,Pipecolic_acid,1/2 D
MD,34,01-Feb,D,Serine,2.156437213,0.116336058,1.078791441,0.058198932,0.093596416,MD1/2D,Amino acids,Serine,1/2 D
MD,34,01-Feb,D,Threonine,2.553474502,0.139190395,1.033874047,0.056356677,0.032291917,MD1/2D,Amino acids,Threonine,1/2 D
MD,34,01-Feb,D,Malic_acid,2.403805318,0.159938275,1.473686207,0.098052379,0.535882111,MD1/2D,TCA intermediates,Malic_acid,1/2 D
MD,34,01-Feb,D,Methionine,1.004442623,0.138210991,1.000505826,0.137669289,-0.148829646,MD1/2D,Amino acids,Methionine,1/2 D
MD,34,01-Feb,D,Aspartate,0.589908849,0.082608227,0.907775522,0.12712087,-0.296985428,MD1/2D,Amino acids,Aspartate,1/2 D
MD,34,01-Feb,D,GABA,2.711635549,0.214670487,1.743027034,0.137989216,0.772035221,MD1/2D,Amino acids,GABA,1/2 D
MD,34,01-Feb,D,Glutamate,7.632373802,0.674658281,1.220287946,0.107866489,0.239554172,MD1/2D,Amino acids,Glutamate,1/2 D
MD,34,01-Feb,D,Phenylalanine,1.226768262,0.100864848,0.678878555,0.055817373,-0.594311497,MD1/2D,Amino acids,Phenylalanine,1/2 D
MD,34,01-Feb,D,Asparagine,6.944655391,0.717916103,0.748724642,0.077400741,-0.478762445,MD1/2D,Amino acids,Asparagine,1/2 D
MD,34,01-Feb,D,Putrescine,0.374755623,0.048087225,0.398456714,0.05112846,-1.426052961,MD1/2D,Amines,Putrescine,1/2 D
MD,34,01-Feb,D,Ornithine,1.091847006,0.148652576,1.032000592,0.140504618,-0.073928021,MD1/2D,Amino acids,Ornithine,1/2 D
MD,34,01-Feb,D,Citric_acid,1.654910175,0.156906788,1.204301115,0.114183249,0.226612139,MD1/2D,TCA intermediates,Citric_acid,1/2 D
MD,34,01-Feb,D,Fructose,2.056340052,0.200119454,1.076453752,0.104758615,0.064609294,MD1/2D,Carbohydrates,Fructose,1/2 D
MD,34,01-Feb,D,Glucose,60.88822998,4.6925093,1.065322719,0.082101857,0.062183293,MD1/2D,Carbohydrates,Glucose,1/2 D
MD,34,01-Feb,D,Lysine,7.386062262,0.53272486,0.992963485,0.07161818,-0.041725819,MD1/2D,Amino acids,Lysine,1/2 D
MD,34,01-Feb,D,Tyrosine,8.467627396,1.661870218,0.999909271,0.196243807,-0.183846465,MD1/2D,Amino acids,Tyrosine,1/2 D
MD,34,01-Feb,D,Mannitol,21.12762045,1.818962837,7.168560288,0.617170532,2.799336062,MD1/2D,Polyols,Mannitol,1/2 D
MD,34,01-Feb,D,Inositol,1.204999864,0.104046104,2.413513113,0.208395573,1.219687825,MD1/2D,Polyols,Inositol,1/2 D
MD,34,01-Feb,D,Sucrose,0.696492307,0.093274986,0.781453536,0.104653084,-0.475274558,MD1/2D,Carbohydrates,Sucrose,1/2 D
MD,34,01-Feb,D,Trehalose,19.1404501,2.282442241,0.903364777,0.107723586,-0.22463019,MD1/2D,Carbohydrates,Trehalose,1/2 D
MD,34,01-Feb,R,Lactic_acid,1.711260317,0.398000824,0.678281182,0.157753012,-0.8226717,MD1/2R,Organic acids,Lactic_acid,1/2 R
MD,34,01-Feb,R,Alanine,8.198247521,0.588944413,1.046836234,0.075202456,0.032319758,MD1/2R,Amino acids,Alanine,1/2 R
MD,34,01-Feb,R,Valine,5.036622605,0.446715368,1.460622492,0.129547629,0.50238647,MD1/2R,Amino acids,Valine,1/2 R
MD,34,01-Feb,R,Leucine,1.318232374,0.133841501,0.884140117,0.089767664,-0.235198897,MD1/2R,Amino acids,Leucine,1/2 R
MD,34,01-Feb,R,Phosphoric_acid,9.893920314,0.982461584,0.847939709,0.08420001,-0.291839702,MD1/2R,Phosphorylated compounds,Phosphoric_acid,1/2 R
MD,34,01-Feb,R,Glycerol,0.281100166,0.042561477,0.3953614,0.059861811,-1.477372202,MD1/2R,Polyols,Glycerol,1/2 R
MD,34,01-Feb,R,Isoleucine,2.682057155,0.268389756,1.070722369,0.107145709,0.044435889,MD1/2R,Amino acids,Isoleucine,1/2 R
MD,34,01-Feb,R,Proline,6.102024996,0.50131069,1.132708195,0.093057424,0.136639144,MD1/2R,Amino acids,Proline,1/2 R
MD,34,01-Feb,R,Glycine,1.080711937,0.099231307,0.910430486,0.083596011,-0.183774435,MD1/2R,Amino acids,Glycine,1/2 R
MD,34,01-Feb,R,Succinic_acid,0.956779867,0.135762396,1.141121909,0.161919633,0.078660434,MD1/2R,TCA intermediates,Succinic_acid,1/2 R
MD,34,01-Feb,R,Fumaric_acid,0.732327133,0.223736454,1.194878546,0.365052551,-0.253363251,MD1/2R,TCA intermediates,Fumaric_acid,1/2 R
MD,34,01-Feb,R,Pipecolic_acid,0.49127147,0.077073883,1.883531665,0.295500775,0.773028151,MD1/2R,Amino acids,Pipecolic_acid,1/2 R
MD,34,01-Feb,R,Serine,2.258044274,0.242873951,1.129621962,0.121501492,0.109840926,MD1/2R,Amino acids,Serine,1/2 R
MD,34,01-Feb,R,Threonine,2.462804605,0.248062993,0.997162792,0.100438007,-0.054959253,MD1/2R,Amino acids,Threonine,1/2 R
MD,34,01-Feb,R,Malic_acid,1.453085955,0.196319858,0.890834509,0.120356613,-0.248478326,MD1/2R,TCA intermediates,Malic_acid,1/2 R
MD,34,01-Feb,R,Methionine,0.99930827,0.140204755,0.995391596,0.139655239,-0.105009511,MD1/2R,Amino acids,Methionine,1/2 R
MD,34,01-Feb,R,Aspartate,0.515582097,0.137361642,0.79339852,0.211377633,-0.686025623,MD1/2R,Amino acids,Aspartate,1/2 R
MD,34,01-Feb,R,GABA,1.78434098,0.160832931,1.14696629,0.103382679,0.154606568,MD1/2R,Amino acids,GABA,1/2 R
MD,34,01-Feb,R,Glutamate,6.113747823,0.672227208,0.977485245,0.107477802,-0.107487518,MD1/2R,Amino acids,Glutamate,1/2 R
MD,34,01-Feb,R,Phenylalanine,2.346442157,0.248031749,1.298492397,0.137257737,0.321696484,MD1/2R,Amino acids,Phenylalanine,1/2 R
MD,34,01-Feb,R,Asparagine,10.4842734,0.748519946,1.130341738,0.080700236,0.146586997,MD1/2R,Amino acids,Asparagine,1/2 R
MD,34,01-Feb,R,Putrescine,0.491074658,0.060318349,0.522132245,0.06413313,-1.032654084,MD1/2R,Amines,Putrescine,1/2 R
MD,34,01-Feb,R,Ornithine,1.17393675,0.198213377,1.109590826,0.187348888,0.023714963,MD1/2R,Amino acids,Ornithine,1/2 R
MD,34,01-Feb,R,Citric_acid,1.269760373,0.163542162,0.924022256,0.119011902,-0.192810945,MD1/2R,TCA intermediates,Citric_acid,1/2 R
MD,34,01-Feb,R,Fructose,1.873789528,0.221679968,0.980892127,0.116045122,-0.102758472,MD1/2R,Carbohydrates,Fructose,1/2 R
MD,34,01-Feb,R,Glucose,63.96088108,10.44674244,1.119082945,0.182780023,0.036151679,MD1/2R,Carbohydrates,Glucose,1/2 R
MD,34,01-Feb,R,Lysine,4.892972779,0.544323539,0.657798856,0.073177477,-0.666785177,MD1/2R,Amino acids,Lysine,1/2 R
MD,34,01-Feb,R,Tyrosine,10.63127773,2.151929062,1.255406346,0.254112955,0.129902976,MD1/2R,Amino acids,Tyrosine,1/2 R
MD,34,01-Feb,R,Mannitol,10.80965714,1.07435514,3.66769552,0.364526597,1.80876999,MD1/2R,Polyols,Mannitol,1/2 R
MD,34,01-Feb,R,Inositol,0.831389948,0.112352587,1.665203956,0.225032758,0.638741183,MD1/2R,Polyols,Inositol,1/2 R
MD,34,01-Feb,R,Sucrose,1.105298537,0.129753757,1.240127767,0.145581697,0.242275394,MD1/2R,Carbohydrates,Sucrose,1/2 R
MD,34,01-Feb,R,Trehalose,18.3775201,1.634150346,0.867357051,0.077126392,-0.252346721,MD1/2R,Carbohydrates,Trehalose,1/2 R
RP,20,C,D,Lactic_acid,0.428430728,0.097656968,1,0.227941091,-0.326087839,RPCD,Organic acids,Lactic_acid,C D
RP,20,C,D,Alanine,3.915358263,0.305648748,1,0.078064056,-0.035812811,RPCD,Amino acids,Alanine,C D
RP,20,C,D,Valine,1.057763311,0.070870694,1,0.067000522,-0.021764973,RPCD,Amino acids,Valine,C D
RP,20,C,D,Leucine,0.805038731,0.061540294,1,0.076443893,-0.030906536,RPCD,Amino acids,Leucine,C D
RP,20,C,D,Phosphoric_acid,13.30511015,0.777206318,1,0.058414121,-0.018798274,RPCD,Phosphorylated compounds,Phosphoric_acid,C D
RP,20,C,D,Glycerol,0.260316462,0.020046438,1,0.077007955,-0.031286209,RPCD,Polyols,Glycerol,C D
RP,20,C,D,Isoleucine,0.781313631,0.060213356,1,0.077066819,-0.029633286,RPCD,Amino acids,Isoleucine,C D
RP,20,C,D,Proline,2.266038448,0.193157355,1,0.085240105,-0.034121122,RPCD,Amino acids,Proline,C D
RP,20,C,D,Glycine,0.711807791,0.064240249,1,0.090249432,-0.040400436,RPCD,Amino acids,Glycine,C D
RP,20,C,D,Succinic_acid,0.511711384,0.074354794,1,0.145306117,-0.094328833,RPCD,TCA intermediates,Succinic_acid,C D
RP,20,C,D,Fumaric_acid,0.368608644,0.121973192,1,0.330901605,-0.534860593,RPCD,TCA intermediates,Fumaric_acid,C D
RP,20,C,D,Pipecolic_acid,0.24985007,0.033739821,1,0.135040269,-0.098382046,RPCD,Amino acids,Pipecolic_acid,C D
RP,20,C,D,Serine,1.099890297,0.072790753,1,0.066180012,-0.024698043,RPCD,Amino acids,Serine,C D
RP,20,C,D,Threonine,1.083036973,0.058066502,1,0.053614515,-0.015397941,RPCD,Amino acids,Threonine,C D
RP,20,C,D,Malic_acid,0.743310656,0.086273356,1,0.116066351,-0.064501626,RPCD,TCA intermediates,Malic_acid,C D
RP,20,C,D,Methionine,0.471009659,0.081135705,1,0.17225911,-0.192210098,RPCD,Amino acids,Methionine,C D
RP,20,C,D,Aspartate,0.964137715,0.139412067,1,0.14459767,-0.142088802,RPCD,Amino acids,Aspartate,C D
RP,20,C,D,GABA,1.349533819,0.087987043,1,0.065198102,-0.022747905,RPCD,Amino acids,GABA,C D
RP,20,C,D,Glutamate,5.697919933,0.510182523,1,0.089538381,-0.039263378,RPCD,Amino acids,Glutamate,C D
RP,20,C,D,Phenylalanine,0.670655646,0.087651862,1,0.130695778,-0.077491026,RPCD,Amino acids,Phenylalanine,C D
RP,20,C,D,Asparagine,6.023121386,0.357727111,1,0.059392313,-0.017691609,RPCD,Amino acids,Asparagine,C D
RP,20,C,D,Putrescine,0.408299861,0.03729617,1,0.091345048,-0.042930249,RPCD,Amines,Putrescine,C D
RP,20,C,D,Ornithine,0.487564306,0.113417099,1,0.232619775,-0.260984038,RPCD,Amino acids,Ornithine,C D
RP,20,C,D,Citric_acid,0.937420601,0.059619678,1,0.063599709,-0.020588495,RPCD,TCA intermediates,Citric_acid,C D
RP,20,C,D,Fructose,0.369434892,0.052027272,1,0.140829341,-0.107142822,RPCD,Carbohydrates,Fructose,C D
RP,20,C,D,Glucose,32.31730437,2.752172496,1,0.085160955,-0.038383868,RPCD,Carbohydrates,Glucose,C D
RP,20,C,D,Lysine,4.110393913,0.470096137,1,0.114367661,-0.081217276,RPCD,Amino acids,Lysine,C D
RP,20,C,D,Tyrosine,8.121406498,2.04828802,1,0.252208533,-0.300661501,RPCD,Amino acids,Tyrosine,C D
RP,20,C,D,Mannitol,1.013461324,0.302505975,1,0.298487933,-0.332522822,RPCD,Polyols,Mannitol,C D
RP,20,C,D,Inositol,0.913961511,0.083403276,1,0.091254691,-0.048820844,RPCD,Polyols,Inositol,C D
RP,20,C,D,Sucrose,0.308725035,0.06092608,1,0.197347391,-0.253528791,RPCD,Carbohydrates,Sucrose,C D
RP,20,C,D,Trehalose,40.32027779,2.726093027,1,0.067610968,-0.023373596,RPCD,Carbohydrates,Trehalose,C D
RP,34,01-Feb,D,Lactic_acid,0.430024836,0.124131591,1.003720806,0.289735499,-0.43951218,RP1/2D,Organic acids,Lactic_acid,1/2 D
RP,34,01-Feb,D,Alanine,6.214198903,0.425763138,1.587134174,0.108741808,0.643435154,RP1/2D,Amino acids,Alanine,1/2 D
RP,34,01-Feb,D,Valine,1.649958478,0.082243743,1.559856029,0.077752501,0.629143793,RP1/2D,Amino acids,Valine,1/2 D
RP,34,01-Feb,D,Leucine,0.817579332,0.040718363,1.015577636,0.050579384,0.010100539,RP1/2D,Amino acids,Leucine,1/2 D
RP,34,01-Feb,D,Phosphoric_acid,17.3576887,1.027101282,1.304588125,0.077196,0.364057568,RP1/2D,Phosphorylated compounds,Phosphoric_acid,1/2 D
RP,34,01-Feb,D,Glycerol,6.482652718,0.602532692,24.9029688,2.314616173,4.599536308,RP1/2D,Polyols,Glycerol,1/2 D
RP,34,01-Feb,D,Isoleucine,0.866207655,0.055573327,1.108655501,0.071128065,0.128669007,RP1/2D,Amino acids,Isoleucine,1/2 D
RP,34,01-Feb,D,Proline,4.386718034,0.196526533,1.935853312,0.086726919,0.943473786,RP1/2D,Amino acids,Proline,1/2 D
RP,34,01-Feb,D,Glycine,1.470466306,0.097749399,2.065819347,0.137325554,1.019653647,RP1/2D,Amino acids,Glycine,1/2 D
RP,34,01-Feb,D,Succinic_acid,0.483009102,0.065477013,0.943909236,0.12795692,-0.162648949,RP1/2D,TCA intermediates,Succinic_acid,1/2 D
RP,34,01-Feb,D,Fumaric_acid,0.329874113,0.087673327,0.89491692,0.237849351,-0.461688004,RP1/2D,TCA intermediates,Fumaric_acid,1/2 D
RP,34,01-Feb,D,Pipecolic_acid,0.293664548,0.027628053,1.175363084,0.110578529,0.18380449,RP1/2D,Amino acids,Pipecolic_acid,1/2 D
RP,34,01-Feb,D,Serine,1.964819004,0.122728984,1.78637725,0.111582932,0.816870091,RP1/2D,Amino acids,Serine,1/2 D
RP,34,01-Feb,D,Threonine,1.0175589,0.04662547,0.939542163,0.043050673,-0.101424473,RP1/2D,Amino acids,Threonine,1/2 D
RP,34,01-Feb,D,Malic_acid,0.867726792,0.072810836,1.167381074,0.097954785,0.189408422,RP1/2D,TCA intermediates,Malic_acid,1/2 D
RP,34,01-Feb,D,Methionine,0.414268849,0.050028953,0.879533658,0.106216405,-0.267704696,RP1/2D,Amino acids,Methionine,1/2 D
RP,34,01-Feb,D,Aspartate,1.471300495,0.112323353,1.526027322,0.116501358,0.582010158,RP1/2D,Amino acids,Aspartate,1/2 D
RP,34,01-Feb,D,GABA,1.737875664,0.108519274,1.287759995,0.080412416,0.342230553,RP1/2D,Amino acids,GABA,1/2 D
RP,34,01-Feb,D,Glutamate,9.320002235,0.737563785,1.635685012,0.129444393,0.673648508,RP1/2D,Amino acids,Glutamate,1/2 D
RP,34,01-Feb,D,Phenylalanine,0.655514524,0.074328007,0.977423402,0.110828869,-0.092781369,RP1/2D,Amino acids,Phenylalanine,1/2 D
RP,34,01-Feb,D,Asparagine,6.41914593,0.612349546,1.065750716,0.101666479,0.048269395,RP1/2D,Amino acids,Asparagine,1/2 D
RP,34,01-Feb,D,Putrescine,0.647162057,0.057091431,1.585016598,0.139827212,0.622363528,RP1/2D,Amines,Putrescine,1/2 D
RP,34,01-Feb,D,Ornithine,0.522239993,0.079541147,1.071120231,0.163139807,-0.017950288,RP1/2D,Amino acids,Ornithine,1/2 D
RP,34,01-Feb,D,Citric_acid,1.435309944,0.065834184,1.531126948,0.070229078,0.604030776,RP1/2D,TCA intermediates,Citric_acid,1/2 D
RP,34,01-Feb,D,Fructose,0.979196343,0.091405036,2.650524799,0.247418524,1.354943662,RP1/2D,Carbohydrates,Fructose,1/2 D
