species	temp	injury_level	recov	replicate	Acq..Date.Time	TRT	Lactic_acid	Alanine	Valine	Leucine	Phosphoric_acid	Glycerol	Isoleucine	Proline	Glycine	Succinic_acid	Fumaric_acid	Pipecolic_acid	Serine	Threonine	Malic_acid	Methionine	Aspartate	GABA	Glutamate	Phenylalanine	Asparagine	Putrescine	Ornithine	Citric_acid	Fructose	Glucose	Lysine	Tyrosine	Mannitol	Inositol	Sucrose	Trehalose
MD	20	C	R	3	11/10/2022 22:59	C	1.977543968	11.85046389	4.201979166	1.583607457	15.6207208	0.944387775	2.534022827	6.925035866	1.88007138	1.172512408	0.434439866	0.263076114	2.266278559	3.261634821	1.735198427	1.351180359	0.55840944	2.219824269	7.649466838	1.810754424	14.93598567	1.259807135	1.065434315	1.438355008	2.134493848	74.89744672	9.500344888	7.108039047	3.537762074	0.675285759	0.925497597	19.59881589
MD	20	C	R	4	13/10/2022 15:47	C	4.583946706	9.831961835	4.036022692	1.78126608	14.20472099	0.508141347	2.929995421	5.621062671	1.072292377	0.787371105	0.447978792	0.322536696	2.773740467	2.782511098	1.441031253	1.312257226	0.468514268	1.712288766	6.056156887	2.010342785	10.48650181	1.163151999	1.337748153	1.429579982	2.053803703	56.93522224	8.803942823	6.098159778	1.869962408	0.711624478	0.837707775	12.85643701
MD	20	C	R	5	19/10/2022 22:31	C	2.731814689	9.588726174	3.497443951	1.979027714	9.761461284	0.871457157	2.577879787	5.69156701	1.442613457	1.104765514	0.967179968	0.346051733	2.489397624	2.898367411	1.347723021	1.189369471	0.672610739	1.360135801	5.145026411	2.042719549	7.395720172	0.890511893	1.294500011	1.389611737	1.777358331	71.77362987	8.729260855	4.121421413	3.076772243	0.64582047	0.791998697	18.05010369
MD	20	C	R	6	21/10/2022 09:25	C	4.39302491	6.076932813	2.877976099	1.427200239	8.856556997	0.519995621	2.156391322	4.759298299	0.777590089	1.022943844	1.136729637	0.337697418	1.375144398	1.906321388	2.382502862	1.029072491	0.731078772	1.239564519	4.603528423	1.781357299	7.291738333	0.632137439	1.31034623	1.596821105	1.975186534	34.1849267	4.687782228	3.814833265	2.244116941	0.638875403	1.11146051	27.81038219
MD	20	C	R	7	25/11/2022 12:08	C	0.767483887	4.351219148	3.225564807	1.253388688	12.14593222	0.710995475	2.515546047	5.065518991	0.72352479	0.416553018	0.426590208	0.156757223	1.623220308	2.199632918	1.675254585	0.595327324	1.153221141	1.144588655	7.775178991	1.719526318	8.689937832	0.62504043	0.628800939	1.383771101	1.74641675	25.01355711	5.923990621	16.74510394	3.90500192	0.165174255	0.866166893	21.18795262
MD	20	C	R	8	25/11/2022 19:37	C	0.683804522	5.289407005	2.85064102	0.921370423	9.4197384	0.710995475	2.3155909	4.260184319	1.22611188	0.526586724	0.264411594	0.13882866	1.465846692	1.770404218	1.205198244	0.546401969	0.315205665	1.657826878	6.29804977	1.477606426	6.851994095	1.072457757	0.71111442	1.006859704	1.774487605	80.12358393	6.985094739	12.9228169	3.04995233	0.158852493	0.814836242	27.62402431
MD	34	1/2	D	1	11/10/2022 23:49	1/2 D	4.711344383	15.79282743	3.604402933	1.646611117	17.31467754	0.680238817	1.798751453	5.551816398	2.672527472	1.675938282	0.667699289	0.354506651	2.46927275	2.904210875	3.029791241	1.207136797	0.620080132	3.482086817	10.19107523	1.254928666	8.522315874	0.400356887	1.036608597	2.000690161	2.000080041	79.19374217	7.182665926	7.149840999	26.41983258	1.253693229	0.77968682	28.39463136
MD	34	1/2	D	2	13/10/2022 16:37	1/2 D	3.922465776	12.81452808	3.349939044	1.826959086	14.23433972	0.427236102	1.688769379	6.681743897	2.43319446	0.959668453	0.732117542	0.500003034	2.482919676	2.609105132	2.99911791	1.554943825	0.585242841	2.496138537	7.878953861	1.505833796	9.231907732	0.599698214	1.46726192	1.703510025	3.278742219	50.74537219	7.29917349	5.696575462	25.73627631	1.478978619	0.988162985	21.14883777
MD	34	1/2	D	3	19/10/2022 23:21	1/2 D	1.804934423	8.068822787	2.675423667	1.289519669	10.4604368	0.341022007	1.456744847	3.636048608	2.073182597	1.503392767	1.474792062	0.470809037	1.850296156	2.177206599	2.327586838	1.028895503	0.921167584	2.778451878	6.242606576	1.524714056	8.355166548	0.414253747	1.497940586	2.54142837	1.507218217	49.51763083	6.4916195	4.375991848	14.32014765	1.206696692	0.760675707	26.77133087
MD	34	1/2	D	4	21/10/2022 10:15	1/2 D	2.932133232	11.90249205	3.394429478	1.483235218	10.0134905	0.545746571	1.64808025	5.754288558	2.338713425	1.394933745	1.349643132	0.469513798	2.078568896	2.953705322	2.262501599	1.225363576	0.818981334	2.345419135	6.989968639	1.57426323	8.648751519	0.440838309	1.544134235	1.660142401	2.234799736	68.31000956	7.631751489	5.406815504	25.98848648	1.160180003	0.752730081	16.50148197
MD	34	1/2	D	5	25/11/2022 12:58	1/2 D	3.93542387	9.555352631	2.584261362	1.208111568	13.56714267	0.466226063	1.753086075	4.949404532	2.073508007	0.724507753	0.518818702	0.315479244	2.385985512	2.716302441	2.454841952	0.80764604	0.571590935	2.497356217	7.867931364	1.028919281	6.680496166	0.216885593	0.461601389	1.374662571	2.251551424	57.97371077	8.94776358	17.1030923	21.52605636	0.563441449	0.636115672	16.85955942
MD	34	1/2	D	6	27/10/2022 18:40	1/2 D	5.779881432	9.201412236	2.387651306	1.155128665	6.076461121	0.336886818	1.389615795	3.51611079	1.643808605	0.931946792	0.791500789	0.554982567	1.585448796	1.97619829	2.307020246	1.176682782	0.604264875	1.999550636	4.015989832	1.150967676	3.857603636	0.424524535	1.210800666	1.433520368	1.560987353	45.69324255	4.332183375	4.027160237	13.35161038	1.214825526	1.009604989	12.52182706
MD	34	1/2	D	7	18/11/2022 10:40	1/2 D	1.977529566	9.051120252	2.210934152	1.065669273	12.56529043	0.466226063	1.417789782	4.236053953	2.167869806	0.809055516	0.376339692	0.603797146	2.010775404	2.16005851	2.232672718	0.259133081	0.455785718	3.762611958	8.894607264	0.83198281	4.948025794	0.334868755	0.970370556	1.396026315	1.755286791	56.1136419	8.239207055	12.0958333	19.21527653	1.543996008	0.265544587	20.97703859
