"","species","temp","injurylevel","recov","replicate","Acq..Date.Time","TRT","metabolites","conc","fold_change","log_foldchange","group"
"1","MD",20,"C","R",3,"2022/10/11 22:59","C R","Lactic_acid",1.977543968,0.783826310944724,-0.351394093735474,"Organic acids"
"2","MD",20,"C","R",4,"2022/10/13 15:47","C R","Lactic_acid",4.583946706,1.81690930481056,0.861486405942031,"Organic acids"
"3","MD",20,"C","R",5,"2022/10/19 22:31","C R","Lactic_acid",2.731814689,1.08279171766232,0.114755757448302,"Organic acids"
"4","MD",20,"C","R",6,"2022/10/21 09:25","C R","Lactic_acid",4.39302491,1.74123486749882,0.800110814891558,"Organic acids"
"5","MD",20,"C","R",7,"2022/11/25 12:08","C R","Lactic_acid",0.767483887,0.304202623856264,-1.71689549801136,"Organic acids"
"6","MD",20,"C","R",8,"2022/11/25 19:37","C R","Lactic_acid",0.683804522,0.271035175227305,-1.88344799669255,"Organic acids"
"7","MD",34,"1/2","D",1,"2022/10/11 23:49","1/2 D","Lactic_acid",4.711344383,1.86740509797709,0.901034926732431,"Organic acids"
"8","MD",34,"1/2","D",2,"2022/10/13 16:37","1/2 D","Lactic_acid",3.922465776,1.55472238734518,0.63665699440345,"Organic acids"
"9","MD",34,"1/2","D",3,"2022/10/19 23:21","1/2 D","Lactic_acid",1.804934423,0.71541018210991,-0.483157443181374,"Organic acids"
"10","MD",34,"1/2","D",4,"2022/10/21 10:15","1/2 D","Lactic_acid",2.932133232,1.16219068280003,0.216846793837876,"Organic acids"
"11","MD",34,"1/2","D",5,"2022/11/25 12:58","1/2 D","Lactic_acid",3.93542387,1.55985850324513,0.641415166315072,"Organic acids"
"12","MD",34,"1/2","D",6,"2022/10/27 18:40","1/2 D","Lactic_acid",5.779881432,2.29093421630688,1.19593603255336,"Organic acids"
"13","MD",34,"1/2","D",7,"2022/11/18 10:40","1/2 D","Lactic_acid",1.977529566,0.783820602517143,-0.35140460059144,"Organic acids"
"14","MD",34,"1/2","D",8,"2022/11/19 20:44","1/2 D","Lactic_acid",1.637385272,0.648999808911952,-0.623710041442331,"Organic acids"
"15","MD",34,"1/2","R",1,"2022/10/12 00:39","1/2 R","Lactic_acid",2.217833585,0.879068352132772,-0.185952748120373,"Organic acids"
"16","MD",34,"1/2","R",2,"2022/10/13 17:27","1/2 R","Lactic_acid",1.181468608,0.468291069878067,-1.09452256820094,"Organic acids"
"17","MD",34,"1/2","R",3,"2022/10/20 00:10","1/2 R","Lactic_acid",3.933232939,1.55899009809659,0.64061176480779,"Organic acids"
"18","MD",34,"1/2","R",4,"2022/10/21 11:04","1/2 R","Lactic_acid",2.5123449,0.99580189702654,-0.00606933111206509,"Organic acids"
"19","MD",34,"1/2","R",5,"2022/11/25 13:48","1/2 R","Lactic_acid",0.702642342,0.27850180008914,-1.84424144247005,"Organic acids"
"20","MD",34,"1/2","R",6,"2022/10/27 19:30","1/2 R","Lactic_acid",1.526513664,0.605054346816846,-0.724863361819495,"Organic acids"
"21","MD",34,"1/2","R",7,"2022/11/18 11:30","1/2 R","Lactic_acid",0.996901798,0.395135517260217,-1.33958056425844,"Organic acids"
"22","MD",34,"1/2","R",8,"2022/11/19 21:34","1/2 R","Lactic_acid",0.619144697,0.245406378641134,-2.02675534664312,"Organic acids"
"23","MD",-5,"1/2","D",1,"2022/10/12 01:29","1/2 D","Lactic_acid",0.194529818,0.0771045256535548,-3.69704064809975,"Organic acids"
"24","MD",-5,"1/2","D",2,"2022/10/13 18:17","1/2 D","Lactic_acid",0.546132632,0.21646705871224,-2.20778059810328,"Organic acids"
"25","MD",-5,"1/2","D",3,"2022/10/20 01:00","1/2 D","Lactic_acid",0.909186677,0.360368442130639,-1.47245541663007,"Organic acids"
"26","MD",-5,"1/2","D",4,"2022/10/21 11:54","1/2 D","Lactic_acid",1.319264026,0.522908148387457,-0.935370543259537,"Organic acids"
"27","MD",-5,"1/2","D",5,"2022/11/25 14:38","1/2 D","Lactic_acid",0.211729306,0.0839217754580244,-3.57481098972666,"Organic acids"
"28","MD",-5,"1/2","D",6,"2022/10/27 20:20","1/2 D","Lactic_acid",0.449598848,0.178204587172465,-2.48839362107023,"Organic acids"
